[DEBUG][2017-07-03 10:22:16,547][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/openstack/horizon
[DEBUG][2017-07-03 10:22:16,547][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/e/zorinos
[DEBUG][2017-07-03 10:22:16,547][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/e/http-relayer-openstack
[DEBUG][2017-07-03 10:22:16,773][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:16,774][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/b
[DEBUG][2017-07-03 10:22:16,783][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/b/kafka-websocket
[DEBUG][2017-07-03 10:22:16,783][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/b/statsd_spec
[DEBUG][2017-07-03 10:22:16,783][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/b/cookbooks
[DEBUG][2017-07-03 10:22:16,784][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/chef-boneyard/cookbooks
[DEBUG][2017-07-03 10:22:16,784][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/b/libdtw
[DEBUG][2017-07-03 10:22:16,784][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/b/rack-geoip
[DEBUG][2017-07-03 10:22:16,784][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/b/bertrem
[DEBUG][2017-07-03 10:22:16,947][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:16,948][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/m
[DEBUG][2017-07-03 10:22:16,957][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/m/heroku-buildpack-wordpress
[DEBUG][2017-07-03 10:22:16,958][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/mchung/heroku-buildpack-wordpress
[DEBUG][2017-07-03 10:22:16,958][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/m/women-in-software-eng
[DEBUG][2017-07-03 10:22:16,958][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/triketora/women-in-software-eng
[DEBUG][2017-07-03 10:22:16,958][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/m/neveragaindottech
[DEBUG][2017-07-03 10:22:16,958][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/neveragaindottech/neveragaindottech
[DEBUG][2017-07-03 10:22:16,959][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/W
[DEBUG][2017-07-03 10:22:16,959][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/n
[DEBUG][2017-07-03 10:22:17,474][us.codecraft.webmagic.utils.CharsetUtils]Auto get charset: utf-8
[INFO][2017-07-03 10:22:17,474][us.codecraft.webmagic.downloader.HttpClientDownloader]downloading page success https://github.com/p
[DEBUG][2017-07-03 10:22:17,488][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/p/redis-dump-load
[DEBUG][2017-07-03 10:22:17,489][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/p/buildploy
[DEBUG][2017-07-03 10:22:17,489][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/p/adblock
[DEBUG][2017-07-03 10:22:17,489][us.codecraft.webmagic.scheduler.QueueScheduler]push to queue https://github.com/p/go-geo-grid-search
